"Date","Price","Open","High","Low","Vol.","Change %"
"11/22/2024","279.239","277.900","279.239","277.900","","0.59%"
"11/21/2024","277.600","277.600","277.600","277.600","","-0.07%"
"11/20/2024","277.800","277.800","277.800","277.800","","0.04%"
"11/19/2024","277.700","277.700","277.700","277.700","","0.01%"
"11/18/2024","277.670","277.670","277.670","277.670","","0.08%"
"11/17/2024","277.450","277.450","277.450","277.450","","0.00%"
"11/16/2024","277.450","277.450","277.450","277.450","","0.00%"
"11/15/2024","277.450","277.450","277.450","277.450","","-0.08%"
"11/14/2024","277.670","277.670","277.670","277.670","","0.06%"
"11/13/2024","277.500","277.500","277.500","277.500","","-0.07%"
"11/12/2024","277.700","277.700","277.700","277.700","","-0.04%"
"11/11/2024","277.800","277.800","277.800","277.800","","0.00%"
"11/09/2024","277.800","277.800","277.800","277.800","","0.00%"
"11/08/2024","277.800","277.800","277.800","277.800","","0.02%"
"11/07/2024","277.750","277.750","277.750","277.750","","0.09%"
"11/06/2024","277.500","277.500","277.500","277.500","","-0.04%"
"11/05/2024","277.600","277.600","277.600","277.600","","0.04%"
"11/04/2024","277.500","277.500","277.500","277.500","","0.00%"
"11/02/2024","277.500","277.500","277.500","277.500","","0.00%"
"11/01/2024","277.500","277.500","277.500","277.500","","-0.13%"
"10/31/2024","277.850","277.850","277.850","277.850","","0.13%"
"10/30/2024","277.500","277.500","277.500","277.500","","0.02%"
"10/29/2024","277.450","277.450","277.450","277.450","","0.00%"
"10/28/2024","277.450","277.450","277.450","277.450","","-0.08%"
"10/26/2024","277.670","277.670","277.670","277.670","","0.00%"
"10/25/2024","277.670","277.670","277.670","277.670","","0.06%"
"10/24/2024","277.500","277.500","277.500","277.500","","-0.07%"
"10/23/2024","277.700","277.700","277.700","277.700","","-0.25%"
"10/22/2024","278.400","278.400","278.400","278.400","","0.32%"
